trial_folder,cavity_sensor_file_cycle_nr
250905,1
250905,2
250905,4
250905,10
250908,1
250908,2
250908,3
250908,4
250908,5
250908,6
250908,7
250908,8
250908,9
250908,10
250908,11
250908,15
250908,16
250908,17
250909,1
250909,2
250909,3
250909,4
250909,5
250909,6
250909,7
250909,8
250909,9
250909,10
250909,11
250909,12
250909,16
250909,17
250909,18
250909,19
250909,21
250909,23
250909,24
250909,25
250909,26
250909,27
250909,28
250909,29
250909,30
250909,34
250909,35
250909,36
250909,37
250909,38
250909,39
250909,43
250909,44
250909,45
250909,49
250909,50
250909,51
250909,55
250909,56
250909,57
250909,58
250909,59
250909,60
250909,61
250909,65
250909,66
250909,67
250909,71
250909,72
250909,73
250909,77
250909,78
250910,1
250910,2
250910,3
250910,4
250910,5
250910,6
250910,7
250910,8
250910,12
250910,13
250910,14
250910,15
250910,16
250910,20
250910,21
250910,22
250910,25
250910,26
250910,27
250910,28
250910,30
250910,31
250910,32
250910,33
250910,34
250910,38
250910,39
250910,40
250910,41
250910,42
250910,44
250910,46
250910,47
250910,48
250910,49
250910,50
250910,54
250910,55
250910,59
250910,60
250910,61
250910,62
250910,66
250910,67
250910,71
250910,72
250910,76
250910,77
250911,1
250911,2
250911,3
250911,4
250911,5
250911,6
250911,10
250911,11
250911,14
250911,15
250911,16
250911,17
250911,21
250911,22
250911,23
250911,25
250911,27
250911,28
250911,29
250911,30
250911,31
250911,32
250911,33
250911,35
250911,38
250911,39
250911,40
250911,44
250911,45
250911,46
250911,49
250911,50
250911,51
250911,52
250911,55
250911,56
250911,57
250911,58
250911,59
250911,60
250911,64
250911,65
250911,69
250911,70
250911,74
250912,1
250912,2
250912,3
250912,4
250912,5
250912,6
250912,7
250912,8
250912,9
250912,13
250912,14
250912,15
250912,16
250912,17
250912,21
250912,22
250912,23
250912,24
250912,25
250912,26
250912,27
250912,31
250912,32
250912,33
250912,37
250912,38
250912,39
250912,40
250912,41
250912,42
250912,43
250912,44
250912,45
250912,46
250912,47
250912,48
250912,49
250912,52
250912,53
250912,54
250912,55
250912,59
250912,60
250912,64
250912,65
250912,69
250912,70
250912,74
250912,75
250912,76
